#Key,Name,Ref:AccountId:Account,StageName,Amount,CloseDate,Type,GL_Fund_Code__c
CE-OPP-00001,FY2022 Grant - 00001,CE-ACC-00001,Proposal Submitted,7156.88,2022-07-05,Grant,FUND-100-GEN
CE-OPP-00002,FY2023 Grant - 00002,CE-ACC-00002,Closed Won,3206.30,2023-12-08,Grant,FUND-210-SCHOL
CE-OPP-00003,FY2023 Grant - 00003,CE-ACC-00003,Proposal Submitted,28027.93,2023-01-16,Grant,FUND-320-BLUETECH
CE-OPP-00004,FY2025 Grant - 00004,CE-ACC-00004,Awarded,23944.20,2025-12-07,Grant,FUND-410-CAPITAL
CE-OPP-00005,FY2023 Grant - 00005,CE-ACC-00005,Closed Won,3745.78,2023-12-19,Grant,FUND-100-GEN
CE-OPP-00006,FY2025 Grant - 00006,CE-ACC-00006,Closed Won,9644.38,2025-12-26,Grant,FUND-210-SCHOL
CE-OPP-00007,FY2024 Grant - 00007,CE-ACC-00007,Awarded,5205.17,2024-11-13,Grant,FUND-320-BLUETECH
CE-OPP-00008,FY2025 Grant - 00008,CE-ACC-00008,Closed Won,3833.23,2025-02-13,Grant,FUND-410-CAPITAL
CE-OPP-00009,FY2025 Grant - 00009,CE-ACC-00009,Closed Lost,50080.37,2025-12-21,Grant,FUND-100-GEN
CE-OPP-00010,FY2024 Grant - 00010,CE-ACC-00010,Prospecting,5737.01,2024-10-18,Grant,FUND-210-SCHOL
CE-OPP-00011,FY2025 Grant - 00011,CE-ACC-00011,Closed Won,55726.08,2025-12-20,Grant,FUND-320-BLUETECH
CE-OPP-00012,FY2023 Grant - 00012,CE-ACC-00012,Closed Lost,34386.53,2023-01-16,Grant,FUND-410-CAPITAL
CE-OPP-00013,FY2025 Grant - 00013,CE-ACC-00013,Closed Won,2719.33,2025-07-15,Grant,FUND-100-GEN
CE-OPP-00014,FY2025 Grant - 00014,CE-ACC-00014,Closed Won,35988.65,2025-04-21,Grant,FUND-210-SCHOL
CE-OPP-00015,FY2023 Grant - 00015,CE-ACC-00015,Closed Won,64727.84,2023-03-09,Grant,FUND-320-BLUETECH
CE-OPP-00016,FY2024 Grant - 00016,CE-ACC-00016,Awarded,24428.23,2024-05-14,Grant,FUND-410-CAPITAL
CE-OPP-00017,FY2024 Grant - 00017,CE-ACC-00017,Closed Won,3430.03,2024-01-06,Grant,FUND-100-GEN
CE-OPP-00018,FY2025 Grant - 00018,CE-ACC-00018,Closed Won,6770.24,2025-04-10,Grant,FUND-210-SCHOL
CE-OPP-00019,FY2024 Grant - 00019,CE-ACC-00019,Closed Won,10842.54,2024-01-27,Grant,FUND-320-BLUETECH
CE-OPP-00020,FY2024 Grant - 00020,CE-ACC-00020,Prospecting,3049.29,2024-06-04,Grant,FUND-410-CAPITAL
CE-OPP-00021,FY2022 Grant - 00021,CE-ACC-00021,Closed Won,8711.42,2022-11-26,Grant,FUND-100-GEN
CE-OPP-00022,FY2023 Grant - 00022,CE-ACC-00022,Prospecting,6616.05,2023-12-11,Grant,FUND-210-SCHOL
CE-OPP-00023,FY2024 Grant - 00023,CE-ACC-00023,Closed Won,26979.49,2024-11-16,Grant,FUND-320-BLUETECH
CE-OPP-00024,FY2024 Grant - 00024,CE-ACC-00024,Closed Won,3944.76,2024-09-22,Grant,FUND-410-CAPITAL
CE-OPP-00025,FY2025 Grant - 00025,CE-ACC-00025,Proposal Submitted,29784.03,2025-11-14,Grant,FUND-100-GEN
CE-OPP-00026,FY2023 Grant - 00026,CE-ACC-00026,Closed Won,9483.52,2023-12-07,Grant,FUND-210-SCHOL
CE-OPP-00027,FY2023 Grant - 00027,CE-ACC-00027,Proposal Submitted,9739.56,2023-12-01,Grant,FUND-320-BLUETECH
