Name,Ref:Opportunity__c:Opportunity,Requirement_Type__c,Type__c,Status__c,Due_Date__c,Submission_Date__c,Milestone_Amount__c,Comments__c
Financial Report - FY2022 Grant - 00001,CE-OPP-00001,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00002,CE-OPP-00002,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00003,CE-OPP-00003,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00004,CE-OPP-00004,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00005,CE-OPP-00005,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00006,CE-OPP-00006,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00007,CE-OPP-00007,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00008,CE-OPP-00008,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00009,CE-OPP-00009,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00010,CE-OPP-00010,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00011,CE-OPP-00011,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00012,CE-OPP-00012,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00013,CE-OPP-00013,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00014,CE-OPP-00014,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00015,CE-OPP-00015,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00016,CE-OPP-00016,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00017,CE-OPP-00017,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00018,CE-OPP-00018,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00019,CE-OPP-00019,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00020,CE-OPP-00020,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00021,CE-OPP-00021,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00022,CE-OPP-00022,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00023,CE-OPP-00023,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00024,CE-OPP-00024,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00025,CE-OPP-00025,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00026,CE-OPP-00026,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00027,CE-OPP-00027,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00028,CE-OPP-00028,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00029,CE-OPP-00029,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
